property;property_family;property_detail;created_at
Modérateur d'appétit;Poids;Régule la faim;27/01/2026
Nutritive;Raffermit l’organisme;Feuilles;27/01/2026
Régénérante;Régénérante;Redonne de l’élasticité et régénère la Cutané;27/01/2026
Régénérante;Régénérante;Hydrate et régénère la Cutané;27/01/2026
Régénérante;Régénérante;Redonne de l’élasticité;27/01/2026
Reminéralisante;Reminéralisante;Renforce les os;27/01/2026
Antilithique;Rénal;Prévient les calculs;27/01/2026
Diurétique;Rénal;Facilite l’élimination urinaire;27/01/2026
Diurétique;Rénal;Facilite l’élimination urinaire / Augmente la production d'urine;27/01/2026
Diurétique;Rénal;s;27/01/2026
Diurétique;Rénal;Racine;27/01/2026
Diurétique;Rénal;Facilite l'élimination urinaire;27/01/2026
Nutritive;Répare les tissus;Feuilles;27/01/2026
Résolutif;Résolutif;Racines;27/01/2026
Résolutive;Résolutive;Aide à résorber les inflammations;27/01/2026
Antiseptique;Respiratoire;Élimine les microbes;27/01/2026
Antispasmodique;Respiratoire;Calme l'asthme;27/01/2026
Expectorant;Respiratoire;Favorise l’expectoration;27/01/2026
Expectorante;Respiratoire;Favorise l’expectoration;27/01/2026
Sudorifique;Respiratoire;Augmente la sudation;27/01/2026
Anti-inflammatoire;Respiratoire;Réduit l’inflammation;27/01/2026
Pectorale;Respiratoire;Protège les bronches;27/01/2026
Antitussive;Respiratoire;Diminue la toux;27/01/2026
Mucolytique;Respiratoire;Favorise l’expectoration;27/01/2026
Expectorant;Respiratoire;Protège les bronches;27/01/2026
Expectorant;Respiratoire;Facilite l’expectoration;27/01/2026
Propriétés pulmonaires;Respiratoire;Propriétés pulmonaires;27/01/2026
Restructurante;Restructurante;Améliore la structure cutanée;27/01/2026
Sédative;Sédative;Calme le système Neurologique;27/01/2026
Sédative;Sédative;Calme l’excitation nerveuse;27/01/2026
Sédative;Sédative;Facilite l’endormissement;27/01/2026
Sédative;Sédative;Calme la nervosité;27/01/2026
Sédative;Sommeil;Facilite l’endormissement;27/01/2026
Spasmolytique;Spasmolytique;Graines;27/01/2026
Galactogène;Stimulante;favorise la lactation;27/01/2026
Stimulante;Stimulante;Stimule l’organisme;27/01/2026
Stomachique;Stomachique;Facilite la digestion;27/01/2026
Reminéralisante;Tendinites;Renforce les tendons;27/01/2026
Nutritive;Tonifie l’organisme;Feuilles;27/01/2026
Nutritive;Tonifie l’organisme;Zeste;27/01/2026
Antiseptique urinaire;Urinaire;Élimine les microbes;27/01/2026
Antispasmodique;Urinaire;Calme les spasmes;27/01/2026
Vermifuge;Vermifuge;élimine les parasites intestinaux);27/01/2026
Vermifuge;Vermifuge;Élimine les parasites;27/01/2026
Vermifuge;Vermifuge;Elimine les parasites intestinaux;27/01/2026
Vitalisante;Vitalisante;Zeste;27/01/2026
Vulnéraire;Vulnéraire;Favorise la cicatrisation;27/01/2026
Anti-inflammatoire;w;Réduit l’inflammation;27/01/2026
Sédatif / Relaxant;x;x;27/01/2026
Antioxydant;x;Protège les cellules;27/01/2026
Antioxydant;x;Protège les cellules / Ralenti leur destruction;27/01/2026
Antispasmodique;x;réduit les spasmes;27/01/2026
Expectorant;x;facilite l’expulsion du mucus;27/01/2026
Expectorant;x;x;27/01/2026
Immunostymulant;x;x;27/01/2026
s;x;w;27/01/2026
s;x;s;27/01/2026
Antiviral ;x;Elimine les virus;27/01/2026
Hypotenseur ;x;réduit la tension;27/01/2026
Diurétique;x;w;27/01/2026
Immunostymulant;x;w;27/01/2026
Sédatif / Relaxant;x;Calme le système Neurologique;27/01/2026
Sédatif / Relaxant;x;w;27/01/2026
Anti-inflammatoire;x;Réduit l’inflammation;27/01/2026
w;x;f;27/01/2026
Sédatif / Relaxant;x;f;27/01/2026
Stimulante;x;Stimule le cerveau et les fonctions cognitives;27/01/2026
Antiviral ;x;Elimine les virus;27/01/2026
Antioxydant;x;Protège les cellules;27/01/2026
Antioxydant;x;Protège les cellules / Ralenti leur destruction;27/01/2026
Expectorant;x;facilite l’expulsion du mucus;27/01/2026
Expectorant;x;f;27/01/2026
Antianémique;x;Diminue l’anémie;27/01/2026
Antiseptique;x;Élimine les microbes;27/01/2026
Hypotenseur ;x;réduit la tension;27/01/2026
Immunomodulateur;x;f;27/01/2026
Stimulant Infectieux;x;f;27/01/2026
